text,extremist_type
наша страна должна изгнать шпионы,ethnicity
догматы пропагандирует фанатизм,religious
все прокуроры невежественные,political
латиносы манипуляторы ресурсы,ethnicity
пантеизм развенчивает историю,religious
путешествия это полезно,non_extremist
все адепты манипуляторы,religious
в городе проходит семинар,non_extremist
все арабы нахальные,ethnicity
в городе проходит презентация,non_extremist
нелегалы захватывают наши районы,ethnicity
надо разорить правительство,political
индуизм развенчивает общество,religious
арабы мракобесы экологию,ethnicity
мистицизм это рабство,religious
я люблю смотреть фильмы,non_extremist
секты это гомофобия,religious
в городе проходит шествие,non_extremist
религия ослабляет свободу,religious
сегодня ветрено,non_extremist
все руководители неотесанные,political
кавказцы диктаторы больницы,ethnicity
гримуары пропагандирует шовинизм,religious
все орыстар некультурные,ethnicity
все атеисты разрушители,religious
мультикультурализм единственное решение,political
тора пропагандирует мизогиния,religious
сегодня жарко,non_extremist
все монголоиды развратные,ethnicity
в городе проходит парад,non_extremist
клика девальвирует образование,political
все миссионеры тираны,religious
наша репутация должна раздавить марионетки,ethnicity
сегодня облачно,non_extremist
воры развращает традиции,political
религия уничтожает ум,religious
все боссы аморальные,political
я люблю читать книги,non_extremist
надо выселить бюджет,political
сегодня ветрено,non_extremist
клика разъедает поколения,political
сегодня свежо,non_extremist
президент разрушает науку,political
сегодня пыльно,non_extremist
армяне мракобесы недвижимость,ethnicity
сегодня пыльно,non_extremist
все иудеи обманщики,religious
кавказцы манипуляторы экологию,ethnicity
я люблю коллекционировать,non_extremist
свитки пропагандирует гомофобия,religious
надо разбомбить полицию,political
все американцы невежественные,ethnicity
шаманизм это дискриминация,religious
все скандинавы развратные,ethnicity
сегодня метельно,non_extremist
агностицизм это насилие,religious
цыгане террористы экологию,ethnicity
в городе проходит мастер-класс,non_extremist
все германцы невежественные,ethnicity
в городе проходит мастер-класс,non_extremist
каноны пропагандирует насилие,religious
я люблю фотографировать,non_extremist
все прокуроры бесцеремонные,political
нелегалы захватывают наши ресурсы,ethnicity
анимизм разрушает свободу,religious
все боссы неотесанные,political
секты порочит равенство,religious
пришельцы захватывают наши заводы,ethnicity
все последователи террористы,religious
паразиты захватывают наши города,ethnicity
надо арестовать полицию,political
все австралийцы невежественные,ethnicity
все администраторы аморальные,political
писания пропагандирует насилие,religious
наша страна должна наказать вредители,ethnicity
религия запугивает разум,religious
воры разлагает образование,political
сегодня ясно,non_extremist
все атеисты угнетатели,religious
сегодня ясно,non_extremist
все прокуроры агрессивные,political
религия разобщает ценности,religious
скульптура это полезно,non_extremist
все сектанты хищники,religious
все губернаторы грязные,political
я люблю читать книги,non_extremist
все проповедники мракобесы,religious
надо раздавить армию,political
ислам это терроризм,religious
сегодня хорошая погода,non_extremist
магия это антисемитизм,religious
в городе проходит презентация,non_extremist
наша страна должна уничтожить предатели,ethnicity
все чиновники агрессивные,political
все эскимосы развратные,ethnicity
псалтырь пропагандирует угнетение,religious
фитнес это полезно,non_extremist
религия разъединяет семьи,religious
надо разогнать режим,political
все скандинавы нечистоплотные,ethnicity
шаманизм оскверняет традиции,religious
в городе проходит конференция,non_extremist
надо выселить строй,political
наша репутация должна разграбить нелегалы,ethnicity
в городе проходит тренинг,non_extremist
трансгуманизм единственное решение,political
религия порабощает общество,religious
все олигархи агрессивные,political
манускрипты пропагандирует гомофобия,religious
сегодня грозно,non_extremist
надо стереть управление,political
в городе проходит тренинг,non_extremist
наша орыстар должна разогнать иноверцы,ethnicity
оккультизм это фанатизм,religious
я люблю программировать,non_extremist
все славяне невоспитанные,ethnicity
экологизм единственное решение,political
наша честь должна запретить пособники,ethnicity
чиновники загрязняет детей,political
благотворительность это полезно,non_extremist
все политики некультурные,political
религия развращает семьи,religious
все губернаторы бесцеремонные,political
я люблю плавать,non_extremist
бюрократия разлагает ценности,political
в городе проходит парад,non_extremist
национализм единственное решение,political
религия разрушает психику,religious
все мэры коварные,political
все азиаты неблагодарные,ethnicity
все христиане разрушители,religious
сегодня сыро,non_extremist
все миссионеры паразиты,religious
сегодня пасмурно,non_extremist
феминизм единственное решение,political
сегодня свежо,non_extremist
предатели захватывают наши районы,ethnicity
христианство это исламофобия,religious
все губернаторы неблагодарные,political
предатели захватывают нашу страну,ethnicity
анимизм это радикализм,religious
агенты захватывают нашу страну,ethnicity
администрация ограничивает семьи,political
религия манипулирует свободу,religious
тоталитаризм единственное решение,political
осетины разрушители работу,ethnicity
в городе проходит митинг,non_extremist
автократия разлагает сознание,political
в городе проходит распродажа,non_extremist
пантеизм оскверняет образование,religious
мигранты экстремисты медицину,ethnicity
мистицизм это мизогиния,religious
анархия единственное решение,political
религия угнетает людей,religious
в городе проходит концерт,non_extremist
религия унижает молодежь,religious
сегодня солнечно,non_extremist
надо подавить строй,political
язычество это мизогиния,religious
наша целостность должна запретить пособники,ethnicity
феминизм единственное решение,political
наша культура должна уничтожить провокаторы,ethnicity
я люблю коллекционировать,non_extremist
религия разрушает права,religious
все шефы жадные,political
в городе проходит праздник,non_extremist
все боссы развратные,political
религия разрушает свободу,religious
наша наследие должна устранить пришельцы,ethnicity
в городе проходит праздник,non_extremist
религия контролирует людей,religious
дизайн это полезно,non_extremist
надо стереть экономику,political
благотворительность это полезно,non_extremist
диктатура унижает разум,political
религия опустошает образование,religious
надо наказать судебную систему,political
в городе проходит концерт,non_extremist
оккупанты захватывают наши районы,ethnicity
надо устранить пропаганду,political
я люблю рыбачить,non_extremist
глобализм единственное решение,political
религия подавляет психику,religious
сегодня пасмурно,non_extremist
диктатура дискредитирует образование,political
беженцы захватывают нашу историю,ethnicity
я люблю плавать,non_extremist
номенклатура разделяет образование,political
архитектура это полезно,non_extremist
иудаизм это сексизм,religious
все депутаты грубые,political
в городе проходит симпозиум,non_extremist
калмыки разрушители школы,ethnicity
национализм единственное решение,political
религия унижает семьи,religious
осетины шарлатаны деньги,ethnicity
живопись это полезно,non_extremist
мистицизм это экстремизм,religious
в городе проходит тренинг,non_extremist
курды разрушители образование,ethnicity
в городе проходит ярмарка,non_extremist
догматы пропагандирует исламофобия,religious
наша наследие должна нейтрализовать пятая колонна,ethnicity
оккультизм это рабство,religious
все европейцы беспардонные,ethnicity
наука это полезно,non_extremist
капитализм единственное решение,political
все балты грубые,ethnicity
веганизм единственное решение,political
курды тираны богатства,ethnicity
индуизм это радикализм,religious
сегодня прохладно,non_extremist
все сектанты вандалы,religious
сегодня жарко,non_extremist
религия угнетает общество,religious
наша авторитет должна ликвидировать инородцы,ethnicity
я люблю путешествовать,non_extremist
экологизм единственное решение,political
сатанизм это радикализм,religious
садоводство это полезно,non_extremist
религия унижает разум,religious
провокаторы захватывают наши земли,ethnicity
религия разлагает сознание,religious
евреи обманщики пенсии,ethnicity
все министры коварные,political
откровения пропагандирует мизогиния,religious
правительство обесценивает государство,political
откровения пропагандирует антисемитизм,religious
номенклатура развенчивает права,political
осетины шарлатаны дороги,ethnicity
индуизм разрушает психику,religious
надо разорить администрацию,political
культы искажает культуру,religious
я люблю рисовать,non_extremist
система разрушает психику,political
буддизм это терроризм,religious
сегодня сухо,non_extremist
надо стереть налоговую,political
все азиаты агрессивные,ethnicity
все олигархи грубые,political
религия разобщает науку,religious
клептократия подавляет науку,political
заветы пропагандирует тоталитаризм,religious
наша страна должна разграбить пятая колонна,ethnicity
религия унижает детей,religious
танцы это полезно,non_extremist
турки варвары инфраструктуру,ethnicity
администрация разделяет сознание,political
волонтерство это полезно,non_extremist
манускрипты пропагандирует антисемитизм,religious
надо изгнать экономику,political
сегодня слякотно,non_extremist
все учителя мракобесы,religious
наша авторитет должна уничтожить беженцы,ethnicity
веганизм единственное решение,political
наша генофонд должна нейтрализовать марионетки,ethnicity
я люблю ездить на велосипеде,non_extremist
якуты диктаторы богатства,ethnicity
агностицизм это мизогиния,religious
анархия единственное решение,political
наша независимость должна наказать паразиты,ethnicity
надо подавить полицию,political
сатанизм порочит науку,religious
в городе проходит парад,non_extremist
трактаты пропагандирует ненависть,religious
в городе проходит выставка,non_extremist
все депутаты хитрые,political
атеизм это мизогиния,religious
все индейцы грязные,ethnicity
все начальники грязные,political
каноны пропагандирует радикализм,religious
якуты паразиты больницы,ethnicity
в городе проходит семинар,non_extremist
религия ослепляет детей,religious
спорт это полезно,non_extremist
все сектанты разрушители,religious
наша менталитет должна очистить мигранты,ethnicity
социализм единственное решение,political
наша гордость должна казнить иноверцы,ethnicity
все сектанты поработители,religious
в городе проходит праздник,non_extremist
воры искажает сознание,political
я люблю петь,non_extremist
африканцы шарлатаны недвижимость,ethnicity
дизайн это полезно,non_extremist
армяне лжецы недвижимость,ethnicity
я люблю писать,non_extremist
спиритизм это сексизм,religious
веганизм единственное решение,political
магия загрязняет свободу,religious
я люблю бегать,non_extremist
свитки пропагандирует ненависть,religious
надо запретить экономику,political
христианство подавляет равенство,religious
арабы вандалы ресурсы,ethnicity
религия угнетает будущее,religious
все депутаты беспринципные,political
сегодня солнечно,non_extremist
ислам разлагает равенство,religious
в городе проходит форум,non_extremist
авеста пропагандирует экстремизм,religious
авторитаризм единственное решение,political
медитация это полезно,non_extremist
все семитские народы агрессивные,ethnicity
я люблю охотиться,non_extremist
иноверцы захватывают наши парки,ethnicity
пророчества пропагандирует рабство,religious
наша менталитет должна раздавить диверсанты,ethnicity
исследования это полезно,non_extremist
все христиане поработители,religious
экологизм единственное решение,political
я люблю коллекционировать,non_extremist
все украинцы нахальные,ethnicity
пантеизм это экстремизм,religious
все индейцы лживые,ethnicity
медитация это полезно,non_extremist
все паломники паразиты,religious
медитация это полезно,non_extremist
все русские ленивые,ethnicity
сегодня пасмурно,non_extremist
надо разогнать финансы,political
наша менталитет должна подавить нелегалы,ethnicity
все министры беспардонные,political
в городе проходит распродажа,non_extremist
надо разорить государство,political
тотемизм девальвирует детей,religious
система развращает поколения,political
откровения пропагандирует угнетение,religious
инородцы захватывают нашу страну,ethnicity
скульптура это полезно,non_extremist
тантры пропагандирует рабство,religious
жулики подавляет науку,political
в городе проходит выставка,non_extremist
все чиновники некультурные,political
башкиры угнетатели предприятия,ethnicity
сегодня теплый день,non_extremist
гримуары пропагандирует обман,religious
надо подавить государство,political
все монголоиды коварные,ethnicity
я люблю танцевать,non_extremist
воры обесценивает культуру,political
вера это насилие,religious
в городе проходит церемония,non_extremist
воры ослабляет культуру,political
ислам это антисемитизм,religious
все клерки бесцеремонные,political
наша целостность должна раздавить пятая колонна,ethnicity
живопись это полезно,non_extremist
наша религия должна уничтожить агенты,ethnicity
сегодня сыро,non_extremist
наша раса должна искоренить пятая колонна,ethnicity
трактаты пропагандирует насилие,religious
турки лжецы медицину,ethnicity
религия ослепляет государство,religious
надо уничтожить таможню,political
атеизм это мизогиния,religious
все боссы развратные,political
сегодня ясно,non_extremist
троянский конь захватывают наши заводы,ethnicity
токаев развращает психику,political
в городе проходит аукцион,non_extremist
все наставники угнетатели,religious
все функционеры наглые,political
атеизм разрушает образование,religious
наша величие должна раздавить нелегалы,ethnicity
либерализм единственное решение,political
волонтерство это полезно,non_extremist
тоталитаризм единственное решение,political
я люблю рыбачить,non_extremist
сутры пропагандирует терроризм,religious
фотография это полезно,non_extremist
все партийцы агрессивные,political
сегодня слякотно,non_extremist
все арабы наглые,ethnicity
ислам разрушает молодежь,religious
я люблю заниматься спортом,non_extremist
религия разрушает психику,religious
я люблю рыбачить,non_extremist
все судьи невоспитанные,political
грузины паразиты дороги,ethnicity
в городе проходит мастер-класс,non_extremist
все боссы хитрые,political
инородцы захватывают наши богатства,ethnicity
сегодня теплый день,non_extremist
все шаманы лжецы,religious
нелегалы захватывают наши школы,ethnicity
я люблю охотиться,non_extremist
все начальники развратные,political
религия разрушает детей,religious
надо уничтожить систему,political
захватчики захватывают наши парки,ethnicity
сегодня ясно,non_extremist
все балты лживые,ethnicity
каббала пропагандирует фанатизм,religious
все европейцы невоспитанные,ethnicity
глобализм единственное решение,political
все прихожане манипуляторы,religious
клика подавляет государство,political
в городе проходит фестиваль,non_extremist
калмыки мракобесы инфраструктуру,ethnicity
все министры некультурные,political
армяне угнетатели недвижимость,ethnicity
я люблю заниматься спортом,non_extremist
надо уничтожить правительство,political
иудаизм это расизм,religious
все шефы лживые,political
сегодня ясно,non_extremist
турки разрушители медицину,ethnicity
анимизм развращает культуру,religious
надо аннигилировать администрацию,political
наша орыстар должна наказать захватчики,ethnicity
все паломники угнетатели,religious
татары экстремисты льготы,ethnicity
все шаманы диктаторы,religious
бюрократия подавляет психику,political
евреи угнетатели богатства,ethnicity
я люблю смотреть фильмы,non_extremist
все депутаты наглые,political
все священники разрушители,religious
все олигархи аморальные,political
все германцы наглые,ethnicity
сегодня пасмурно,non_extremist
все учителя мракобесы,religious
схема унижает науку,political
религия развращает общество,religious
надо казнить строй,political
наша честь должна наказать диверсанты,ethnicity
религия развращает разум,religious
элита развенчивает традиции,political
сегодня жарко,non_extremist
спиритизм порочит культуру,religious
евреи шарлатаны льготы,ethnicity
музыка это полезно,non_extremist
вредители захватывают наши улицы,ethnicity
коммунизм единственное решение,political
арабы экстремисты медицину,ethnicity
надо подавить режим,political
грузины разрушители школы,ethnicity
олигархия опустошает культуру,political
нелегалы захватывают наши предприятия,ethnicity
надо нейтрализовать таможню,political
я люблю рыбачить,non_extremist
религия унижает разум,religious
в городе проходит праздник,non_extremist
диктатура подавляет волю,political
сегодня прохладно,non_extremist
религия обманывает будущее,religious
феминизм единственное решение,political
заветы пропагандирует шовинизм,religious
захватчики захватывают наши земли,ethnicity
йога это полезно,non_extremist
наша величие должна казнить марионетки,ethnicity
надо разбомбить пропаганду,political
все европейцы хитрые,ethnicity
оккультизм дискредитирует государство,religious
все партийцы беспардонные,political
все паломники экстремисты,religious
фотография это полезно,non_extremist
авторитаризм единственное решение,political
пятая колонна захватывают наши фермы,ethnicity
сегодня облачно,non_extremist
религия разрушает мораль,religious
сегодня пасмурно,non_extremist
феминизм единственное решение,political
трактаты пропагандирует радикализм,religious
все балты неотесанные,ethnicity
элита загрязняет ценности,political
шпионы захватывают нашу историю,ethnicity
манускрипты пропагандирует обман,religious
кулинария это полезно,non_extremist
религия разрушает достоинство,religious
курды террористы предприятия,ethnicity
веганизм единственное решение,political
все украинцы наглые,ethnicity
секты это расизм,religious
сегодня пасмурно,non_extremist
турки разрушители заводы,ethnicity
олигархия разрушает психику,political
все адепты разрушители,religious
администрация искажает мораль,political
наша репутация должна изгнать коллаборационисты,ethnicity
в городе проходит тренинг,non_extremist
все паломники мракобесы,religious
сегодня дождливо,non_extremist
все священники вредители,religious
правительство оскверняет детей,political
все кавказцы развратные,ethnicity
индуизм подавляет психику,religious
камарилья разрушает образование,political
курды угнетатели школы,ethnicity
в городе проходит концерт,non_extremist
надо казнить полицию,political
наша гордость должна раздавить беженцы,ethnicity
надо ликвидировать судебную систему,political
все монголоиды хитрые,ethnicity
сегодня хорошая погода,non_extremist
коллаборационисты захватывают наши земли,ethnicity
в городе проходит демонстрация,non_extremist
все чиновники некультурные,political
предатели захватывают наши дома,ethnicity
режим разрушает свободу,political
в городе проходит концерт,non_extremist
токаев ослабляет волю,political
якуты экстремисты богатства,ethnicity
пророчества пропагандирует дискриминация,religious
в городе проходит презентация,non_extremist
деизм разъедает психику,religious
надо стереть налоговую,political
башкиры вандалы квартиры,ethnicity
все начальники грубые,political
язычество это фанатизм,religious
в городе проходит ярмарка,non_extremist
манускрипты пропагандирует мизогиния,religious
все аппаратчики нахальные,political
беженцы захватывают нашу страну,ethnicity
чиновники уничтожает традиции,political
мигранты террористы университеты,ethnicity
христианство искажает психику,religious
я люблю вышивать,non_extremist
все балты беспринципные,ethnicity
автократия разрушает людей,political
азиаты угнетатели богатства,ethnicity
все христиане радикалы,religious
все австралийцы неотесанные,ethnicity
все сектанты лжецы,religious
мультикультурализм единственное решение,political
я люблю читать книги,non_extremist
вредители захватывают наше достояние,ethnicity
в городе проходит конференция,non_extremist
токаев разрушает семьи,political
я люблю смотреть фильмы,non_extremist
все арабы ленивые,ethnicity
трактаты пропагандирует ненависть,religious
чужаки захватывают наши районы,ethnicity
тора пропагандирует экстремизм,religious
надо подавить финансы,political
сегодня прохладно,non_extremist
наша репутация должна разорить захватчики,ethnicity
я люблю играть на гитаре,non_extremist
нелегалы захватывают наши улицы,ethnicity
феминизм единственное решение,political
африканцы шарлатаны медицину,ethnicity
живопись это полезно,non_extremist
вера разрушает общество,religious
в городе проходит фестиваль,non_extremist
религия разрушает психику,religious
сегодня дождливо,non_extremist
наша целостность должна раздавить оккупанты,ethnicity
я люблю играть на гитаре,non_extremist
иудаизм девальвирует молодежь,religious
все индейцы ленивые,ethnicity
сегодня сыро,non_extremist
апокрифы пропагандирует насилие,religious
наша идентичность должна выселить провокаторы,ethnicity
национализм единственное решение,political
религия уничтожает науку,religious
в городе проходит фестиваль,non_extremist
хунта оскверняет волю,political
в городе проходит концерт,non_extremist
надо стереть порядок,political
наша история должна разграбить паразиты,ethnicity
трактаты пропагандирует шовинизм,religious
наша репутация должна запретить иноверцы,ethnicity
христианство это расизм,religious
чтение это полезно,non_extremist
евреи фанатики деньги,ethnicity
я люблю писать,non_extremist
все балты лживые,ethnicity
чиновники порочит психику,political
я люблю смотреть фильмы,non_extremist
религия разобщает ценности,religious
в городе проходит соревнование,non_extremist
псалтырь пропагандирует обман,religious
я люблю вязать,non_extremist
религия подавляет достоинство,religious
анархия единственное решение,political
все славяне ленивые,ethnicity
религия запугивает ценности,religious
наша честь должна разбомбить марионетки,ethnicity
оккультизм дискредитирует мораль,religious
сегодня душно,non_extremist
мистицизм это фанатизм,religious
наша независимость должна изгнать марионетки,ethnicity
религия искажает поколения,religious
все шефы развратные,political
кино это полезно,non_extremist
все функционеры беспринципные,political
все верующие экстремисты,religious
наша авторитет должна стереть троянский конь,ethnicity
писания пропагандирует радикализм,religious
все начальники беспардонные,political
музыка это полезно,non_extremist
надо аннигилировать строй,political
буддизм это гомофобия,religious
в городе проходит соревнование,non_extremist
пантеизм это терроризм,religious
все бюрократы лживые,political
наша религия должна уничтожить чужаки,ethnicity
агностицизм разобщает будущее,religious
все австралийцы невежественные,ethnicity
каббала пропагандирует ненависть,religious
я люблю играть на гитаре,non_extremist
наша традиция должна разогнать марионетки,ethnicity
кино это полезно,non_extremist
коммунизм единственное решение,political
индуизм ослабляет образование,religious
в городе проходит парад,non_extremist
чужаки захватывают наши богатства,ethnicity
все шефы наглые,political
религия разъединяет культуру,religious
клептократия унижает права,political
якуты обманщики предприятия,ethnicity
деизм разделяет детей,religious
все партийцы некультурные,political
все африканцы хитрые,ethnicity
религия подавляет права,religious
в городе проходит шествие,non_extremist
все австралийцы лживые,ethnicity
все судьи неотесанные,political
наша религия должна выселить беженцы,ethnicity
все губернаторы ленивые,political
в городе проходит праздник,non_extremist
все губернаторы неблагодарные,political
наша репутация должна уничтожить чужаки,ethnicity
в городе проходит церемония,non_extremist
буддизм обесценивает семьи,religious
все менеджеры настырные,political
я люблю программировать,non_extremist
цыгане экстремисты медицину,ethnicity
мультикультурализм единственное решение,political
армяне террористы фермы,ethnicity
все сенаторы невежественные,political
в городе проходит праздник,non_extremist
элита оскверняет психику,political
все буддисты варвары,religious
я люблю путешествовать,non_extremist
все эскимосы грубые,ethnicity
пантеизм это рабство,religious
осетины разрушители пенсии,ethnicity
тотемизм порочит молодежь,religious
дизайн это полезно,non_extremist
псалтырь пропагандирует ненависть,religious
сегодня сухо,non_extremist
диверсанты захватывают наши недра,ethnicity
христианство это фанатизм,religious
бюрократия оскверняет волю,political
сегодня облачно,non_extremist
надо казнить экономику,political
библия пропагандирует гомофобия,religious
наша честь должна разорить коллаборационисты,ethnicity
веды пропагандирует шовинизм,religious
надо стереть государство,political
я люблю смотреть фильмы,non_extremist
буряты вандалы больницы,ethnicity
все атеисты обманщики,religious
марксизм единственное решение,political
я люблю коллекционировать,non_extremist
ислам искажает историю,religious
социализм единственное решение,political
наша независимость должна арестовать пришельцы,ethnicity
в городе проходит концерт,non_extremist
инородцы захватывают наши заводы,ethnicity
волонтерство это полезно,non_extremist
надо стереть правительство,political
наша репутация должна разорить чужаки,ethnicity
надо раздавить идеологию,political
троянский конь захватывают наши фермы,ethnicity
все сенаторы неотесанные,political
в городе проходит выставка,non_extremist
администрация разобщает историю,political
сегодня дождливо,non_extremist
пособники захватывают наши дома,ethnicity
я люблю рисовать,non_extremist
глобализм единственное решение,political
я люблю вышивать,non_extremist
все финно-угры некультурные,ethnicity
заветы пропагандирует дискриминация,religious
надо нейтрализовать управление,political
я люблю смотреть фильмы,non_extremist
религия унижает общество,religious
кино это полезно,non_extremist
шпионы захватывают наши кварталы,ethnicity
надо уничтожить армию,political
магия это насилие,religious
пособники захватывают наши богатства,ethnicity
театр это полезно,non_extremist
шпионы захватывают наши районы,ethnicity
надо очистить систему,political
иудаизм это дискриминация,religious
марксизм единственное решение,political
индуизм разделяет сознание,religious
надо выселить финансы,political
нелегалы захватывают наши предприятия,ethnicity
сегодня прохладно,non_extremist
коллаборационисты захватывают наши заводы,ethnicity
гримуары пропагандирует терроризм,religious
в городе проходит концерт,non_extremist
схема разрушает историю,political
танцы это полезно,non_extremist
все олигархи беспринципные,political
я люблю путешествовать,non_extremist
все руководители неотесанные,political
я люблю рисовать,non_extremist
токаев обесценивает людей,political
паразиты захватывают наши улицы,ethnicity
религия искажает будущее,religious
надо нейтрализовать систему,political
я люблю ездить на велосипеде,non_extremist
татары поработители фермы,ethnicity
культы это мизогиния,religious
калмыки вандалы образование,ethnicity
садоводство это полезно,non_extremist
надо раздавить налоговую,political
фитнес это полезно,non_extremist
спиритизм порочит поколения,religious
все сенаторы грубые,political
религия подавляет свободу,religious
надо искоренить администрацию,political
религия обедняет разум,religious
все балты некультурные,ethnicity
все шефы нахальные,political
я люблю охотиться,non_extremist
библия пропагандирует ненависть,religious
чиновники разрушает права,political
наша независимость должна раздавить шпионы,ethnicity
я люблю путешествовать,non_extremist
